Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Year
Shri Bishnu Pada Ray,BJP,1,Graduate,59,1241034,Andaman & Nicobar Islands,0,0,M,2009
Shri P. R. Ganeshan,RJD,0,Not Given,71,329563,Andaman & Nicobar Islands,0,0,M,2009
Shri Pradeep Kumar Ekka,JDP,0,Others,37,410000,Andaman & Nicobar Islands,0,0,M,2009
Shri T. Ali,IND,0,12th Pass,37,445957,Andaman & Nicobar Islands,296000,0,M,2009
Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,3986000,Andaman & Nicobar Islands,0,0,M,2009
Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,57000,Andaman & Nicobar Islands,48362,0,M,2009
Shri. Kuldeep Rai Sharma,INC,1,Graduate Professional,41,5409630,Andaman & Nicobar Islands,10374,0,M,2009
Shri. M. S. Mohan,BSP,0,10th Pass,50,5452500,Andaman & Nicobar Islands,300000,0,M,2009
Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,1488456,Andaman & Nicobar Islands,62000,0,M,2009
Smti. R. S. Uma Bharathy,NCP,1,Graduate,44,73000,Andaman & Nicobar Islands,0,0,M,2009
Ramesh Rathod,TDP,2,12th Pass,43,3410000,Adilabad,815241,0,M,2009
A Laxman Rao,IND,0,10th Pass,47,1560000,Adilabad,0,0,M,2009
Ade Tukaram,BJP,0,10th Pass,55,865000,Adilabad,370000,0,M,2009
Banka Sahadev,IND,0,Not Given,56,118000,Adilabad,0,0,M,2009
G Pentanna,IND,0,Post Graduate,36,436000,Adilabad,13000,0,M,2009
Kotnak Ramesh,INC,0,12th Pass,39,2600000,Adilabad,0,0,M,2009
Masram Nago Rao,PRAP,0,Post Graduate,59,350000,Adilabad,0,0,M,2009
N Ramdas,IND,0,5th Pass,35,,Adilabad,0,0,M,2009
Rathod Sadashiv Naik,BSP,0,Graduate,50,1150000,Adilabad,0,0,M,2009
G V Harsha Kumar,INC,1,Post Graduate,50,7289000,Amalapuram,1014298,0,M,2009
Akumarthi Suryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,395000,Amalapuram,0,0,M,2009
Bheemarao Ramji Muthabathula,PPOI,0,10th Pass,39,50000,Amalapuram,0,0,M,2009
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,10853316,Amalapuram,0,0,F,2009
G Sampada Rao,BSP,0,Graduate Professional,39,20000,Amalapuram,0,0,M,2009
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,16079000,Amalapuram,0,0,M,2009
Kiran Kumar Binepe,PBHP,0,Not Given,43,15887,Amalapuram,0,0,M,2009
Masa Ramadasu,RDMP,0,Not Given,45,20000,Amalapuram,0,0,M,2009
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,200000,Amalapuram,0,0,M,2009
Pothula Prameela Devi,PRAP,0,Graduate,55,550000,Amalapuram,0,0,F,2009
Yalangi Ramesh,IND,0,Graduate Professional,45,520000,Amalapuram,0,0,M,2009
Sabbam Hari,INC,0,12th Pass,55,85032286,Anakapalle,450000,1,M,2009
Allu Aravind,PRAP,1,Graduate,62,452181969,Anakapalle,53958644,0,M,2009
Bheemisetti Nageswararao,RJD,0,Post Graduate,41,1120500,Anakapalle,200000,0,M,2009
Boyina Nageswara Rao,JD(U),0,5th Pass,52,500000,Anakapalle,380898,0,M,2009
Kirla Appa Rao,BJP,0,Not Given,57,50000,Anakapalle,0,0,M,2009
Nanda Gopal Gandham,IND,0,Others,60,148180000,Anakapalle,30000000,0,M,2009
Nookarapu Surya Prakasa Rao,TDP,0,Graduate,50,119726600,Anakapalle,0,0,M,2009
Pathala Satya Rao,IND,0,Literate,46,150000,Anakapalle,0,0,M,2009
Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,3500,Anakapalle,0,0,M,2009
Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,6046173,Anakapalle,1798837,0,M,2009
Anantha Venkata Rami Reddy,INC,0,Post Graduate,52,13015000,Anantapur,0,1,M,2009
Amarnath,LSP,0,Graduate,32,488500,Anantapur,0,0,M,2009
Ambati Rama Krishna Reddy,BJP,0,Graduate Professional,41,25550000,Anantapur,251000,0,M,2009
Devella Murali,IND,0,5th Pass,45,,Anantapur,0,0,M,2009
G Hari,PPOI,0,Post Graduate,30,80000,Anantapur,0,0,M,2009
Gaddala Nagabhushanam,BSP,2,Post Graduate,48,575000,Anantapur,9000,0,M,2009
J C Ramanujula Reddy,IND,0,8th Pass,52,2543000,Anantapur,0,0,M,2009
K P Narayana Swamy,IND,0,Graduate,41,,Anantapur,0,0,M,2009
Kalava Srinivasulu,TDP,0,Post Graduate,44,4205517,Anantapur,1950000,0,M,2009
Krushnapuram Gayathri Devi,CPI(ML)(L),0,5th Pass,36,1057900,Anantapur,750000,0,F,2009
Mansoor,PRAP,0,10th Pass,56,33790000,Anantapur,0,0,M,2009
T Chandra Sekhar,IND,0,Not Given,30,800000,Anantapur,0,0,M,2009
V. Kishore Chandra Deo,INC,0,Post Graduate,62,247410000,Araku,0,1,M,2009
A Gumpa Swamy,IND,0,Illiterate,60,,Araku,0,0,M,2009
G Balayya Dora,RJD,0,Graduate,38,509264,Araku,0,0,M,2009
Illa Rami Reddy,IND,0,Literate,54,,Araku,0,0,M,2009
Jayalakshmi Sambudu,IND,0,Not Given,39,,Araku,0,0,F,2009
K Appa Rao,IND,0,10th Pass,48,1103000,Araku,0,0,M,2009
Kurusa  Bojjaiah,BJP,0,10th Pass,56,1028805,Araku,0,0,M,2009
Lake Raja Rao,BSP,0,12th Pass,50,350000,Araku,0,0,M,2009
Meenaka Simhachalam,PRAP,0,Graduate,43,2029200,Araku,0,0,M,2009
Midiyam Babu Rao,CPM,0,Graduate Professional,58,707000,Araku,0,0,M,2009
Vadigala Pentayya,LSP,0,Graduate,56,1045000,Araku,780000,0,M,2009
Panabaka Lakshmi,INC,0,Post Graduate,50,16635386,Bapatla,0,1,F,2009
Battula Rosayya,BJP,0,Not Given,52,,Bapatla,0,0,M,2009
Dara Sambaiah,BSP,0,Not Given,62,7170000,Bapatla,698162,0,M,2009
Garikapati Sudhakar,RDMP,0,8th Pass,32,60000,Bapatla,0,0,M,2009
Golla Babu Rao,IND,0,Post Graduate,34,50000,Bapatla,0,0,M,2009
Gorremuchu Chinna Rao,IND,0,5th Pass,42,258000,Bapatla,110985,0,M,2009
Gudipalli Sathya Babuji,IND,0,Graduate,40,3900000,Bapatla,0,0,M,2009
Malyadri Sriram,TDP,0,Post Graduate,55,15870952,Bapatla,0,0,M,2009
Nuthakki Rama Rao,PRAP,0,Post Graduate,61,32825159,Bapatla,0,0,M,2009
Komatireddy Raj Gopal Reddy,INC,0,Graduate,41,194763618,Bhongir,6057899,1,M,2009
Chintha Samba Murthy,BJP,0,Graduate,50,165000,Bhongir,0,0,M,2009
Gandam Chandramouli,PRAP,0,Post Graduate,49,2700000,Bhongir,0,0,M,2009
Mamidigalla John Babu,IND,0,Not Given,40,,Bhongir,0,0,M,2009
Medi Narsimha,IND,0,10th Pass,31,360000,Bhongir,0,0,M,2009
Nomula Narsimhaiah,CPM,3,Post Graduate,53,10247088,Bhongir,0,0,M,2009
Palla Prabhakar Reddy,PPOI,0,Graduate,65,6600000,Bhongir,50000,0,M,2009
Peruku Anjaiah,IND,0,12th Pass,46,570000,Bhongir,0,0,M,2009
Poosa Bala Kishan,IND,0,12th Pass,35,42000,Bhongir,0,0,M,2009
Racha Subhadra Reddy,LSP,0,Graduate,59,2950000,Bhongir,150000,0,F,2009
Rupani Ramesh Vaddera,IND,0,12th Pass,31,160000,Bhongir,0,0,M,2009
Sangu Mallayya,IND,0,Not Given,66,50000,Bhongir,0,0,M,2009
Siddhartha Pooley,BSP,0,Post Graduate,39,110000,Bhongir,0,0,M,2009
Sirupangi Ramulu,IND,1,5th Pass,55,1505000,Bhongir,0,0,M,2009
Sudini Jaipal Reddy,INC,0,Post Graduate,67,56150333,Chevella,2042919,1,M,2009
A.P.Jithender Reddy,TDP,1,Graduate,54,267668583,Chevella,3621000,0,M,2009
Baddam Bal Reddy,BJP,1,12th Pass,64,6343740,Chevella,0,0,M,2009
C. Srinivasa Rao,BSP,0,Post Graduate,39,1005000,Chevella,0,0,M,2009
Dasari Sarala Devi,MCPI(S),1,Not Given,39,530000,Chevella,15000,0,M,2009
Dr. Raghuveera Reddy,LSP,0,Graduate Professional,42,8150000,Chevella,700000,0,M,2009
Eedagi Laxminarayana,IND,0,10th Pass,27,50000,Chevella,0,0,M,2009
G.Mallesham Goud,IND,0,Graduate,32,400000,Chevella,0,0,M,2009
Kasani Gyaneshwar,MANP,0,8th Pass,54,455121661,Chevella,0,0,M,2009
Kummari Giri,PPOI,0,Not Given,28,,Chevella,0,0,M,2009
Rameshwaram Jangaiah,IND,0,Not Given,52,130000,Chevella,0,0,M,2009
S. Malla Reddy,IND,0,5th Pass,43,2823736,Chevella,0,0,M,2009
Sama Srinivasulu,GRIP,0,10th Pass,34,,Chevella,0,0,M,2009
Sayamollu Narsimulu,IND,0,10th Pass,30,,Chevella,0,0,M,2009
Venkatram Nayak,IND,0,Graduate,34,1283750,Chevella,0,0,M,2009
Naramalli Sivaprasad,TDP,0,Graduate Professional,57,6011000,Chittoor,0,1,M,2009
A. Amarnadh,RKSP,0,Not Given,37,,Chittoor,0,0,M,2009
B.Sivakumar,BJP,0,10th Pass,40,1549643,Chittoor,60000,0,M,2009
G. Venkatachalam,LSP,0,Post Graduate,29,250000,Chittoor,115000,0,M,2009
Jayaram Duggani,BSP,0,12th Pass,60,315000,Chittoor,0,0,M,2009
Talari Manohar,PRAP,0,Post Graduate,54,4943512,Chittoor,2613277,0,M,2009
Thippeswamy M,INC,1,Graduate Professional,55,4014000,Chittoor,500000,0,M,2009
Kavuri Sambasiva Rao,INC,0,Graduate Professional,66,126050111,Eluru,945674,1,M,2009
Dodda Kameswara Rao,IND,0,10th Pass,54,2010000,Eluru,0,0,M,2009
Dowluri Govardhan,IND,1,5th Pass,32,33227,Eluru,15000,0,M,2009
Kasi Naidu Kammili,IND,0,10th Pass,39,60000,Eluru,0,0,M,2009
Kolusu Peda Reddaiah Yadav,PRAP,0,Graduate Professional,67,79364590,Eluru,190000,0,M,2009
Maganti Venkateswara Rao(Babu),TDP,0,12th Pass,49,64298108,Eluru,1253750,0,M,2009
Pillelli Sunil,BSP,0,Not Given,35,,Eluru,0,0,M,2009
Savanapudi Nagaraju,MCPI(S),0,Not Given,48,600,Eluru,0,0,M,2009
Siriki Srinivas,RDMP,0,Post Graduate,32,5000,Eluru,0,0,M,2009
Tanuku Sekhar,IND,0,8th Pass,45,70600,Eluru,0,0,M,2009
Y.V.S.V. Prasada Rao (Yerneni Prasada Rao),PPOI,0,Graduate,61,4315000,Eluru,373750,0,M,2009
Sambasiva Rao Rayapati,INC,3,Graduate,65,147143582,Guntur,45204329,0,M,2009
Amanulla Khan,LSP,0,Literate,37,90000,Guntur,0,0,M,2009
Kommanaboina Lakshmaiah,RDHP,0,Not Given,39,222400,Guntur,0,0,M,2009
Mallela Babu Rao,BSP,0,Post Graduate,61,15880237,Guntur,3133480,0,M,2009
Srinivasa Rao Thotakura,Ajeya Bharat Party,0,Graduate Professional,34,,Guntur,0,0,M,2009
Thota Chandra Sekhar,PRAP,0,Doctorate,47,39150000,Guntur,1500000,0,M,2009
Velagapudi Lakshmana Rao,PPOI,0,10th Pass,59,17792174,Guntur,0,0,M,2009
Yadlapati Swaruparani,BJP,0,Graduate,51,69021000,Guntur,1450000,0,F,2009
Yarrakula Tulasi Ram Yadav,SP,0,Not Given,30,200000,Guntur,0,0,M,2009
Kristappa Nimmala,TDP,0,Graduate,52,15917465,Hindupur,1216390,1,M,2009
B. Nagabhushana Rao,IND,0,Graduate,76,4547188,Hindupur,335000,0,M,2009
K. Jakeer,IND,0,8th Pass,40,80000,Hindupur,0,0,M,2009
Kadapala Sreekantha Reddy,PRAP,0,Post Graduate,56,66073943,Hindupur,1484577,0,M,2009
M Sreeramulu,BSP,0,Post Graduate,30,200000,Hindupur,0,0,M,2009
Naresh Kumar,BJP,0,10th Pass,45,69665000,Hindupur,3600000,0,M,2009
Niranjan Babu. K,LSP,0,Graduate Professional,30,20000,Hindupur,0,0,M,2009
P Khasim Khan,INC,0,Graduate,53,5190960,Hindupur,2432826,0,M,2009
P. Prasad,IND,0,Graduate Professional,32,280000,Hindupur,0,0,M,2009
S. Muskin Vali,PPOI,0,Not Given,26,50000,Hindupur,0,0,M,2009
Asaduddin Owaisi,AIMIM,4,Graduate Professional,41,9302233,Hyderabad,0,0,M,2009
